Image_name,RegionNo.,Stat,Aperture(um),Area(um^2),Long_axis_length(um),Aperture/Long_axis_length(arbitrary),Centroid(X)(px),Centroid(Y)(px),Eccentricity(arbitrary),Solidity(arbitrary)
20160927_REDOX_Close_A6_02,4,open,5.174122577523919,84.3942901234568,60.40198249637083,0.24670503197745575,101.09857142857143,73.92571428571429,0.9690906186714442,0.9523809523809523
20160927_REDOX_Close_A6_02,5,partially_open,2.544916512749905,41.23263888888889,60.57863314071614,0.12098918672685456,116.37719298245614,89.80701754385964,0.9926538252055317,0.9193548387096774
20160927_REDOX_Close_A6_02,6,closed,0,0
20160927_REDOX_Close_A6_02,7,partially_open,2.704749011450174,42.43827160493827,57.70335971334571,0.13499520984000685,128.51988636363637,108.86931818181819,0.9908462511006703,0.9119170984455959
20160927_REDOX_Close_A6_02,8,partially_open,3.679562873230301,67.3948688271605,67.79501212621135,0.156311515295181,98.79248658318426,92.0,0.9877078060773461,0.9332220367278798
20160927_REDOX_Close_A6_02,9,partially_open,3.2235463728532534,57.99093364197531,66.38666723255163,0.13984454922697492,83.25987525987526,97.46569646569647,0.9901734706865783,0.9357976653696498
20160927_REDOX_Close_A6_02,10,partially_open,2.98486357780022,49.67206790123457,61.52417673052907,0.1397240493231824,108.5873786407767,118.64320388349515,0.9901904816956851,0.9300225733634312
20160927_REDOX_Close_A6_02,12,closed,0,0
20160927_REDOX_Close_A6_02,13,open,4.022902169661861,79.93344907407408,73.34250938992923,0.15797057320508104,90.60935143288084,93.14027149321267,0.9874438201747268,0.9377652050919377
20160927_REDOX_Close_A6_02,14,open,4.472638360646516,82.58584104938272,67.99103721559096,0.18945436054780745,107.48321167883212,85.32992700729928,0.9818895280373559,0.958041958041958
3,1,partially_open,2.877863271266412,52.20389660493827,67.18300894330827,0.12336819013630698,117.75057736720554,90.6189376443418,0.9923609674218812,0.9058577405857741
3,2,partially_open,2.6405956786021236,46.89911265432099,66.17264377397429,0.11492536976987355,92.82776349614396,90.10539845758355,0.9933741286057625,0.8901601830663616
3,4,partially_open,2.6659236197413017,43.764467592592595,60.792725734939005,0.1262957028498938,101.95316804407713,90.48484848484848,0.9919926388041654,0.9143576826196473
3,5,partially_open,3.0346807103545244,55.09741512345679,67.30215695757637,0.12986033198505326,109.64989059080963,88.59737417943107,0.9915322960835576,0.9103585657370518
3,6,partially_open,3.1043272543810825,57.50868055555556,68.74226500902607,0.13005772346086655,81.86373165618448,79.18448637316561,0.991506423866319,0.9244186046511628
3,8,partially_open,2.7056840462531313,47.863618827160494,65.91997869790698,0.11820953536589102,116.92443324937028,78.78841309823677,0.9929886735248193,0.9147465437788018
3,9,partially_open,3.355519687377444,59.79938271604939,65.67213696876088,0.14715368108462787,99.9133064516129,89.1875,0.9891136406618016,0.9305816135084428
3,10,partially_open,3.050607136468205,49.67206790123457,60.33199138070616,0.14562338076309653,86.32038834951456,92.6868932038835,0.989340098740128,0.911504424778761
3,11,partially_open,2.2823039262180917,36.41010802469136,58.93015593414003,0.1115394182030349,78.23509933774834,83.1456953642384,0.9937600103580987,0.8728323699421965
3,12,partially_open,2.612475227615978,38.82137345679013,56.366704681957245,0.13348179032261923,100.25155279503106,88.22360248447205,0.9910512659051843,0.9044943820224719
4,1,closed,0,0
4,2,closed,0,0
4,3,closed,0,0
4,4,closed,0,0
4,5,closed,0,0
4,6,closed,0,0
4,7,closed,0,0
4,8,closed,0,0
4,9,closed,0,0
5,1,open,5.765942133903643,129.36439043209876,83.21752607457383,0.19954826980510587,96.42777260018639,86.0475302889096,0.9798879976904445,0.9529307282415631
5,2,open,11.48622814137799,252.5800540123457,85.41116254302386,0.38730695218561356,91.67589498806683,99.90453460620525,0.921950825580568,0.9540072859744991
5,3,open,11.708784385017108,224.72993827160494,91.34956031378854,0.3691457179762614,94.95118025751073,87.193669527897,0.9293715289913881,0.8519195612431444
5,4,open,8.825575668406735,221.35416666666669,92.54266370697046,0.2746588104000825,92.63562091503267,97.01742919389979,0.9615417504558039,0.9658074697527617
5,5,open,9.378439233906118,240.88541666666669,94.5020761612663,0.2858128211655122,110.8018018018018,79.48648648648648,0.958285464388045,0.9713174526008751
5,6,open,11.636627348103195,244.62287808641977,79.85200577223206,0.4196949899809688,87.96057171020207,111.39083292262198,0.90766520005169,0.9406583217431618
5,7,open,11.869563299241477,291.8836805555556,90.84328623690345,0.3763001507086462,89.65923172242874,97.10739363899215,0.926497812505054,0.9785772029102667
5,8,open,13.297063358398374,287.54340277777777,93.86935041517575,0.40796641611782286,122.36687631027253,145.1664570230608,0.9129969350003205,0.8079268292682927
5,9,open,14.78802331390651,266.6859567901235,71.59717247834483,0.5948490096718876,88.50542495479205,88.28526220614829,0.803837456014818,0.9404761904761905
5,10,partially_open,4.51225239824809,71.97627314814815,66.16153847619715,0.19641754418437224,77.72194304857621,76.50418760469012,0.9805203457025153,0.8326359832635983
5,11,open,11.682850393030037,273.0758101851852,90.17455029307648,0.37312755120565166,94.84150110375276,82.07770419426049,0.9277800550406727,0.934020618556701
5,12,open,12.014425457396438,271.02623456790127,84.17666893026306,0.4110586194135065,82.05827402135232,75.79893238434164,0.9116089136279121,0.9740034662045061
